Agency,Mode,Fuel,State,Total_Energy,Total_Emissions_kg,Total_Emissions_lb,UPT,MILES
Santee Wateree Regional Transportation Authority,Motor Bus,Gasoline,SC,40018,749537.14,1652444.5695868,89873,619762
Valley Transit District,Demand Response,Gasoline,CT,39997,749143.81,1651577.4264022,48819,277875
Town of Huntington,Demand Response,Gasoline,NY,39946,748188.5800000001,1649471.5072396,94877,521015
City of Rome,Motor Bus,Diesel Fuel,GA,33115,743431.75,1638984.5046849998,204548,1972262
"Western Maine Transportation Services, Inc.",Demand Response,Gasoline,ME,39642,742494.66,1636918.5773292,168002,787362
South Florida Regional Transportation Authority,Motor Bus,Diesel Fuel,FL,32812,736629.4,1623987.907828,4122066,106697798
Green Mountain Transit Authority,Motor Bus,Gasoline,VT,39029,731013.17,1611606.2548453999,2455808,10319587
Ms Coast Transportation Authority,Demand Response,Diesel Fuel,MS,32467,728884.15,1606912.5747729999,751314,6961094
Collier County,Demand Response,Diesel Fuel,FL,32274,724551.2999999999,1597360.2870059996,844505,8431064
Rogue Valley Transportation District,Demand Response,Gasoline,OR,38312,717583.76,1581999.5089711999,875282,4236166
County of Lebanon Transit Authority,Demand Response,Gasoline,PA,38240,716235.2000000001,1579026.446624,243772,1506617
Rogue Valley Transportation District,Motor Bus,Diesel Fuel,OR,31697,711597.65,1568802.411143,875282,4236166
Rockford Mass Transit District,Demand Response,Diesel Fuel,IL,31317,703066.65,1549994.7979229998,994754,5035893
"Transit Management of Central Maryland, Inc.",Motor Bus,Gasoline,MD,37196,696681.08,1535917.0425895997,790641,4538713
Rhode Island Public Transit Authority,Vanpool,Gasoline,RI,36655,686548.15,1513577.7824529998,11412537,54303315
The Tri-County Council for the Lower Eastern Shore of Maryland,Demand Response,Gasoline,MD,36547,684525.31,1509118.1889322,213781,6003442
Berkshire Regional Transit Authority,Demand Response,Gasoline,MA,36534,684281.8200000001,1508581.3860084,509964,3054823
Transportation District Commission of Hampton Roads,Ferry Boat,Diesel Fuel,VA,29635,665305.75,1466746.3625649998,7167154,36797144
Toledo Area Regional Transit Authority,Demand Response,Diesel Fuel,OH,29399,660007.5499999999,1455065.8448809998,1891108,13977629
Southeast Area Transit District,Demand Response,Gasoline,CT,34643,648863.39,1430497.2068617998,1211688,6890209
"Frederick County, Maryland",Motor Bus,Gasoline,MD,34609,648226.5700000001,1429093.2607534,677642,3659312
"City of Rochester, Minnesota",Demand Response,Gasoline,MN,34513,646428.49,1425129.1776237998,745406,2558386
Kitsap County Public Transportation Benefit Area Authority,Vanpool,Gasoline,WA,33931,635527.63,1401096.9236505998,2739131,24094434
Ms Coast Transportation Authority,Demand Response,Gasoline,MS,33793,632942.89,1395398.5541518,751314,6961094
Ms Coast Transportation Authority,Vanpool,Gasoline,MS,33427,626087.71,1380285.4872201998,751314,6961094
"JAUNT, Inc.",Commuter Bus,Gasoline,VA,33420,625956.6,1379996.4394919998,240235,2433504
"Ride Connection, Inc.",Demand Response,Gasoline,OR,33048,618989.04,1364635.6173648,164113,894584
City of Yakima,Demand Response,Gasoline,WA,33001,618108.73,1362694.8683325998,646711,3435365
River Valley Transit Authority,Motor Bus,Diesel Fuel,PA,27475,616813.75,1359839.9295249998,780399,4578701
Rhode Island Public Transit Authority,Demand Response,Diesel Fuel,RI,27386,614815.7,1355434.9885339998,11412537,54303315
Jacksonville Transportation Authority,Commuter Bus,Gasoline,FL,32755,613501.15,1352536.9053129999,6678105,36776548
County of Lackawanna Transit System,Motor Bus,Gasoline,PA,32399,606833.27,1337836.7637073998,798042,3912648
Santee Wateree Regional Transportation Authority,Demand Response,Gasoline,SC,32362,606140.26,1336308.9400012,89873,619762
City of Alexandria,Demand Response,Gasoline,VA,32054,600371.42,1323590.8399604,4580105,10493813
City of Harrisonburg,Demand Response,Gasoline,VA,31875,597018.75,1316199.476625,1522746,3218771
Skagit Transit,Vanpool,Gasoline,WA,31415,588402.9500000001,1297204.911629,573848,7120242
Cape Fear Public Transportation Authority,Motor Bus,Diesel Fuel,NC,26077,585428.65,1290647.710363,721308,2152407
Saginaw Transit Authority Regional Service,Demand Response,Diesel Fuel,MI,25846,580242.7,1279214.6612739998,477324,3044653
Western Reserve Transit Authority,Motor Bus,Gasoline,OH,30428,569916.4400000001,1256449.1819528001,2015081,6871274
Fort Wayne Public Transportation Corporation,Demand Response,Bio-Diesel,IN,25236,566548.2,1249023.4926839997,1561932,6664742
Jackson Transit Authority,Demand Response,Gasoline,TN,29870,559465.1,1233407.9487619998,298840,1635772
Cooperative Alliance for Seacoast Transportation,Demand Response,Gasoline,NH,29613,554651.49,1222795.7678838,291028,1961994
Municipality of Anchorage,Motor Bus,Gasoline,AK,29582,554070.86,1221515.6993731998,3117877,20591368
Central Midlands Regional Transportation Authority,Commuter Bus,Liquified Petroleum Gas,SC,43110,546634.7999999999,1205122.0127759997,1968473,12347578
Greater Peoria Mass Transit District,Motor Bus,Gasoline,IL,28840,540173.2000000001,1190876.6401840001,1871743,10047144
Cobb County,Demand Response,Diesel Fuel,GA,23936,537363.2,1184681.6579839997,854074,4391380
Cambria County Transit Authority,Demand Response,Gasoline,PA,28596,535603.08,1180801.2622295998,804968,4713352
Capital District Transportation Authority,Vanpool,Gasoline,NY,28589,535471.97,1180512.2145013998,13833236,58050444
Duluth Transit Authority,Demand Response,Gasoline,MN,28306,530171.38,1168826.4277756,2160263,9955251
Salem Area Mass Transit District,Vanpool,Gasoline,OR,28243,528991.39,1166224.9982218,3027255,11246133
Somerset County,Motor Bus,Diesel Fuel,NJ,23541,528495.45,1165131.6389789998,215121,1265945
Muncie Indiana Transit System,Demand Response,Liquified Petroleum Gas,IN,41451,525598.6799999999,1158745.3619015997,919115,3654917
Charlotte County Government,Demand Response,Gasoline,FL,27978,524027.94,1155282.4770828,58403,523957
"Montgomery County, Maryland",Demand Response,Diesel Fuel,MD,22930,514778.5,1134890.97667,14372995,58141297
Regional Planning Commission of Greater Birmingham,Vanpool,Gasoline,AL,27382,512864.86,1130672.1276532,40045,2357836
"Arlington County, Virginia",Demand Response,Gasoline,VA,26666,499454.18,1101106.6743116,2097034,5273946
Chelan Douglas PTBA,Demand Response,Electric Battery,WA,3761,498141.1762571328,1098212,1113038,9761540
Milford Transit District,Demand Response,Gasoline,CT,26525,496813.25,1095284.427215,270092,1376659
City of Fayetteville,Demand Response,Liquified Petroleum Gas,NC,38701,490728.68,1081870.2625016,2195673,9099174
Martin County,Commuter Bus,Diesel Fuel,FL,21746,488197.7,1076290.413374,107491,863744
North Central Alabama Regional Council of Governments,Demand Response,Gasoline,AL,25973,486474.29000000004,1072490.9492198,38312,206786
County of Douglas,Demand Response,Gasoline,GA,25933,485725.09,1070839.2479158,49871,333837
Greater Lynchburg Transit Company,Demand Response,Gasoline,VA,25845,484076.85000000003,1067205.505047,520122,2306018
Puerto Rico Highway and Transportation Authority – Público,Publico,Diesel Fuel,PR,21426,481013.7,1060452.4232939999,2942179,13502710
Delaware Transit Corporation,Motor Bus,Liquified Petroleum Gas,DE,37726,478365.68,1054614.5454415998,7629486,49897548
Gary Public Transportation Corporation,Motor Bus,Gasoline,IN,24895,466283.35000000003,1027977.5990769999,460489,944846
City of Wilsonville,Motor Bus,Diesel Fuel,OR,20153,452434.85,997446.9190069998,185195,1207058
Intercity Transit,Demand Response,Gasoline,WA,23744,444725.12,980449.8940543999,3898995,24528110
City of Montgomery,Motor Bus,Bio-Diesel,AL,19733,443005.85,976659.5570269999,422109,1912289
"Western Maine Transportation Services, Inc.",Commuter Bus,Diesel Fuel,ME,19685,441928.25,974283.8585149999,168002,787362
MTA New York City Transit,Demand Response,Diesel Fuel,NY,19665,441479.25,973293.9841349999,2632003044,9591253658
City of Eau Claire,Demand Response,Gasoline,WI,23515,440435.95,970993.904089,672882,1868624
Saginaw Transit Authority Regional Service,Demand Response,Gasoline,MI,23248,435435.04000000004,959968.7978848,477324,3044653
City of Jackson Transportation Authority,Demand Response,Gasoline,MI,23172,434011.56,956830.5654071999,316935,889242
Birmingham-Jefferson County Transit Authority,Demand Response,Gasoline,AL,23056,431838.88,952040.6316255999,1795762,9332038
City of Yakima,Commuter Bus,Diesel Fuel,WA,19140,429693,947309.7816599999,646711,3435365
Kitsap County Public Transportation Benefit Area Authority,Demand Response,Diesel Fuel,WA,19117,429176.64999999997,946171.4261229999,2739131,24094434
Greenville Transit Authority,Demand Response,Gasoline,SC,22911,429123.03,946053.2143985999,764307,4016483
University of Georgia,Demand Response,Electric Battery,GA,1290,428903.84737505787,945570,2941019,3512275
Lee County,Demand Response,Diesel Fuel,FL,19045,427560.25,942607.8783549999,1742894,10735134
Pioneer Valley Transit Authority,Motor Bus,Gasoline,MA,22757,426238.61,939694.1643781998,7079756,27546334
"City of Gainesville, FL",Motor Bus,Gasoline,FL,22250,416742.5,918758.85035,5170533,17908961
First Tennessee Human Resource Agency,Demand Response,Liquified Petroleum Gas,TN,32788,415751.83999999997,916574.8215007999,141537,2243178
"Western Maine Transportation Services, Inc.",Motor Bus,Diesel Fuel,ME,18090,406120.5,895341.3767099999,168002,787362
Greater Hartford Transit District,Demand Response,Diesel Fuel,CT,18056,405357.2,893658.590264,503701,4871394
Charlotte County Government,Demand Response,Diesel Fuel,FL,18023,404616.35,892025.2975369999,58403,523957
Worcester Regional Transit Authority,Motor Bus,Gasoline,MA,21468,402095.64,886468.0898567999,4133429,16612797
City of Evansville,Demand Response,Gasoline,IN,21440,401571.2,885311.8989439999,906183,3415960
King County,Demand Response,Diesel Fuel,WA,17880,401406,884947.69572,78886848,301530502
Valley Regional Transit,Demand Response,Gasoline,ID,21373,400316.29000000004,882545.2992598,1096198,4478664
Sarasota County,Motor Bus,Gasoline,FL,20512,384189.76,846992.4286912,2189094,11413817
Salem Area Mass Transit District,Motor Bus,Gasoline,OR,19941,373494.93,823414.3925766,3027255,11246133
Southeast Area Transit District,Motor Bus,Bio-Diesel,CT,16606,372804.7,821892.697714,1211688,6890209
County of Nassau,Demand Response,Diesel Fuel,NY,16595,372557.75,821348.2668049999,20293586,112757303
Williamsburg Area Transit Authority,Demand Response,Gasoline,VA,19855,371884.15,819863.234773,740818,3497142
Gary Public Transportation Corporation,Demand Response,Gasoline,IN,19850,371790.5,819656.7721099999,460489,944846
Athens-Clarke County Unified Government,Demand Response,Gasoline,GA,19805,370947.65,817798.6081429999,1186787,4197292
Toledo Area Regional Transit Authority,Vanpool,Gasoline,OH,19662,368269.26,811893.7759811999,1891108,13977629
Bay Metropolitan Transit Authority,Demand Response,Liquified Petroleum Gas,MI,28708,364017.44,802520.1285728,290244,2107127
Centre Area Transportation Authority,Vanpool,Gasoline,PA,19376,362912.48,800084.1116575999,4823095,11988843
Town of Blacksburg,Demand Response,Gasoline,VA,19228,360140.44,793972.8168327999,3520078,6571617
New York City Economic Development Corporation,Motor Bus,Diesel Fuel,NY,15641,351140.45,774131.258879,6687168,33504383
Central Midlands Regional Transportation Authority,Vanpool,Gasoline,SC,18544,347329.12,765728.7245343999,1968473,12347578
Brevard Board of County Commissioners,Vanpool,Gasoline,FL,18267,342140.91000000003,754290.6930042,1855968,12482419
City of Montgomery,Motor Bus,Diesel Fuel,AL,14913,334796.85,738099.8314469999,422109,1912289
Collier County,Motor Bus,Gasoline,FL,17699,331502.27,730836.5344874,844505,8431064
City of Nashua,Demand Response,Gasoline,NH,17574,329161.02,725674.9679124,315974,1787898
Charleston Area Regional Transportation Authority,Motor Bus,Gasoline,SC,17455,326932.15,720761.156533,2230900,12721462
Ann Arbor Area Transportation Authority,Demand Response,Diesel Fuel,MI,14510,325749.5,718153.86269,4680565,23620240
City of Nashua,Motor Bus,Bio-Diesel,NH,14416,323639.2,713501.453104,315974,1787898
Ohio Valley Regional Transportation Authority,Motor Bus,Gasoline,WV,17175,321687.75,709199.2474049999,317863,1774356
City of Rome,Demand Response,Gasoline,GA,17117,320601.41000000003,706804.2805142,204548,1972262
Research Triangle Regional Public Transportation Authority,Vanpool,Gasoline,NC,17051,319365.23,704078.9733625998,1653233,14834526
"City of Racine, Wisconsin",Demand Response,Gasoline,WI,16946,317398.58,699743.2574396,1037031,4186567
South Bend Public Transportation Corporation,Motor Bus,Diesel Fuel,IN,14104,316634.8,698059.4127759999,1252820,4679161
Indianapolis and Marion County Public Transportation,Motor Bus,Gasoline,IN,16642,311704.66000000003,687190.3275292,6888880,35204901
Indian River County,Motor Bus,Gasoline,FL,16610,311105.3,685868.9664859999,1292919,5934814
Portage Area Regional Transportation Authority,Motor Bus,Gasoline,OH,16488,308820.24,680831.2775087999,904481,2689790
"Western Maine Transportation Services, Inc.",Commuter Bus,Gasoline,ME,16425,307640.25,678229.8479549999,168002,787362
"City of Decatur, Il",Demand Response,Gasoline,IL,16083,301234.59,664107.8018058,909640,2611423
Transportation District Commission of Hampton Roads,Vanpool,Gasoline,VA,15783,295615.59,651720.0420258,7167154,36797144
City of Terre Haute,Motor Bus,Diesel Fuel,IN,13070,293421.5,646882.90733,145758,197093
County of Atlantic,Motor Bus,Diesel Fuel,NJ,13007,292007.14999999997,643764.8030329999,86347,658856
Western Piedmont Regional Transit Authority,Motor Bus,Gasoline,NC,15487,290071.51,639497.4523762,124319,1139015
City of Longview,Demand Response,Liquified Petroleum Gas,WA,22719,288076.92,635100.1393703999,274804,1040117
St. Cloud Metropolitan Transit Commission,Commuter Bus,Diesel Fuel,MN,12819,287786.55,634459.9838609999,774825,3454101
City of Rome,Motor Bus,Gasoline,GA,15332,287168.36,633097.1098231999,204548,1972262
Cooperative Alliance for Seacoast Transportation,Motor Bus,Gasoline,NH,15259,285801.07,630082.7549433999,291028,1961994
City of Fort Lauderdale,Ferry Boat,Diesel Fuel,FL,12706,285249.7,628867.193614,218791,537030
Green Mountain Transit Authority,Commuter Bus,Gasoline,VT,15214,284958.22000000003,628224.5909764001,2455808,10319587
Buncombe County,Motor Bus,Gasoline,NC,15007,281081.11,619677.0367281999,113858,1149650
Town of Huntington,Motor Bus,Diesel Fuel,NY,12491,280422.95,618226.044029,94877,521015
Putnam County,Demand Response,Gasoline,NY,14937,279770.01,616786.5594461999,96321,793823
City of Evansville,Demand Response,Diesel Fuel,IN,11859,266234.55,586946.0136209999,906183,3415960
Bloomington-Normal Public Transit System,Demand Response,Liquified Petroleum Gas,IL,20984,266077.12,586598.9402944,2125519,5027621
City of Baltimore,Ferry Boat,Diesel Fuel,MD,11815,265246.75,584768.2899849999,1276575,1928119
Loudoun County,Demand Response,Gasoline,VA,14148,264992.04,584206.7512247999,526819,7797386
Ulster County,Demand Response,Gasoline,NY,14007,262351.11,578384.5041281999,430747,3954087
Niagara Frontier Transportation Authority,Demand Response,Diesel Fuel,NY,11662,261811.9,577195.7509779999,14531216,46252415
Snohomish County Public Transportation Benefit Area Corporation,Commuter Bus,Bio-Diesel,WA,11595,260307.75,573879.6718049999,7146008,58898665
City of Wilsonville,Motor Bus,Gasoline,OR,13812,258698.76,570332.4602711999,185195,1207058
County of Rockland,Motor Bus,Gasoline,NY,13531,253435.63,558729.2586105999,1385483,8437498
Lexington Transit Authority,Vanpool,Gasoline,KY,13385,250701.05000000002,552700.548851,3733026,17873805
"Escambia County Board of County Commissioners, FL",Motor Bus,Gasoline,FL,12994,243377.62,536555.1686043999,894386,4947071
Norwalk Transit District,Demand Response,Diesel Fuel,CT,10488,235455.6,519090.12487199996,1564640,5619863
"Prince George's County, Maryland",Demand Response,Liquified Petroleum Gas,MD,17622,223446.96,492615.63695519994,1800711,13130314
Fort Wayne Public Transportation Corporation,Motor Bus,Gasoline,IN,11673,218635.29,482007.73303979996,1561932,6664742
County of Fayette,Motor Bus,Gasoline,PA,11426,214008.98,471808.4774876,181885,2022566
Jacksonville Transportation Authority,Motor Bus,Gasoline,FL,11358,212735.34,469000.58527079993,6678105,36776548
Central Oregon Intergovernmental Council,Commuter Bus,Gasoline,OR,11298,211611.54,466523.03331479995,503039,3520617
Greater Roanoke Transit Company,Motor Bus,Gasoline,VA,11261,210918.53,464995.20960859995,1287135,7602285
Town of Blacksburg,Demand Response,Diesel Fuel,VA,9174,205956.3,454055.37810599996,3520078,6571617
Connecticut Department of Transportation - CTTRANSIT New Haven Division,Motor Bus,Electric Battery,CT,788,205880.37847792366,453888,7705131,32389851
Washington County Transportation Authority,Motor Bus,Gasoline,PA,10948,205056.04,452070.64690479997,246090,2597556
City of Fort Lauderdale,Motor Bus,Liquified Petroleum Gas,FL,15976,202575.68,446602.39564159996,218791,537030
Rock Island County Metropolitan Mass Transit District,Ferry Boat,Bio-Diesel,IL,8976,201511.19999999998,444255.62174399995,1927164,9497862
MetroWest Regional Transit Authority,Motor Bus,Gasoline,MA,10719,200766.87,442614.65693939995,479776,2476730
Cambria County Transit Authority,Motor Bus,Gasoline,PA,10519,197020.87,434356.15041939996,804968,4713352
City of Terre Haute,Demand Response,Gasoline,IN,10475,196196.75,432539.278985,145758,197093
Whatcom Transportation Authority,Vanpool,Gasoline,WA,10131,189753.63,418334.6477706,3724696,11921726
Lee County,Motor Bus,Gasoline,FL,10029,187843.17,414122.80944539997,1742894,10735134
Clark County Public Transportation Benefit Area Authority,Vanpool,Gasoline,WA,10024,187749.52000000002,413916.3467824,4492306,19621461
"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Motor Bus,Gasoline,MA,9811,183760.03,405121.03733859997,3860264,40644147
Bay Metropolitan Transit Authority,Motor Bus,Liquified Petroleum Gas,MI,14407,182680.76,402741.6571112,290244,2107127
Ohio Valley Regional Transportation Authority,Demand Response,Gasoline,WV,9735,182336.55000000002,401982.804861,317863,1774356
City of Longview,Demand Response,Gasoline,WA,9665,181025.45,399092.327579,274804,1040117
Snohomish County Public Transportation Benefit Area Corporation,Demand Response,Electric Battery,WA,1343,177879.18099264274,392156,7146008,58898665
Massachusetts Bay Transportation Authority,Motor Bus,Gasoline,MA,9474,177448.02,391205.45385239995,234975556,1103417623
"City of Gainesville, FL",Vanpool,Gasoline,FL,9440,176811.2,389801.507744,5170533,17908961
Bergen County,Motor Bus,Gasoline,NJ,9437,176755.01,389677.6301462,139952,1223026
City of La Crosse,Demand Response,Gasoline,WI,9419,176417.87,388934.36455939995,685372,2005024
Augusta Richmond County Transit Department,Demand Response,Gasoline,GA,9323,174619.79,384970.2814298,423982,1726132
City of Memphis,Motor Bus,Gasoline,TN,9246,173177.58000000002,381790.7564196,2819588,14475117
Cape Cod Regional Transit Authority,Motor Bus,Bio-Diesel,MA,7704,172954.8,381299.6111759999,726134,8680561
City of Waukesha,Demand Response,Gasoline,WI,9085,170162.05000000002,375142.658671,466611,2014029
Greenville Transit Authority,Motor Bus,Gasoline,SC,8899,166678.27,367462.24760739994,764307,4016483
River Valley Transit Authority,Demand Response,Gasoline,PA,8893,166565.89,367214.4924118,780399,4578701
County of Volusia,Vanpool,Gasoline,FL,8826,165310.98,364447.8927276,2292313,19892288
Ms Coast Transportation Authority,Motor Bus,Gasoline,MS,8619,161433.87,355900.3384794,751314,6961094
Augusta Richmond County Transit Department,Demand Response,Diesel Fuel,GA,7085,159058.25,350662.99911499996,423982,1726132
Southwestern Pennsylvania Commission,Vanpool,Gasoline,PA,8487,158961.51,350449.7241762,22169,758063
Transit Authority of Central Kentucky,Vanpool,Gasoline,KY,8472,158680.56,349830.3361872,98435,1683699
St. Cloud Metropolitan Transit Commission,Demand Response,Diesel Fuel,MN,7041,158070.44999999998,348485.27547899995,774825,3454101
Lowell Regional Transit Authority,Motor Bus,Gasoline,MA,8229,154129.17,339796.2507654,812372,4282663
County of Volusia,Demand Response,Liquified Petroleum Gas,FL,12063,152958.84,337216.11784079997,2292313,19892288
Transit Authority of Northern Kentucky,Demand Response,Diesel Fuel,KY,6388,143410.6,316165.876972,1913143,10690427
Erie Metropolitan Transit Authority,Demand Response,Diesel Fuel,PA,6380,143231,315769.92721999995,1423465,3300207
City of Knoxville,Motor Bus,Gasoline,TN,7642,143134.66,315557.5341292,2312188,7161127
Ms Coast Transportation Authority,Demand Response,Liquified Petroleum Gas,MS,10906,138288.08,304872.66692959995,751314,6961094
Capital District Transportation Authority,Motor Bus,Gasoline,NY,7360,137852.80000000002,303913.039936,13833236,58050444
Green Mountain Transit Authority,Motor Bus,Electric Battery,VT,37876,137442.28030227433,303008,2455808,10319587
Chelan Douglas PTBA,Vanpool,Gasoline,WA,7147,133863.31,295117.73049219995,1113038,9761540
King County,Ferry Boat,Diesel Fuel,WA,5591,125517.95,276719.38292899996,78886848,301530502
Tompkins Consolidated Area Transit,Motor Bus,Gasoline,NY,6578,123205.94,271622.2794428,2222629,10556141
Clark County Public Transportation Benefit Area Authority,Demand Response,Gasoline,WA,6189,115919.97,255559.48426139998,4492306,19621461
City of Tallahassee,Motor Bus,Bio-Diesel,FL,5134,115258.3,254100.75334599998,2588477,10140885
Rock Island County Metropolitan Mass Transit District,Motor Bus,Diesel Fuel,IL,5124,115033.8,253605.816156,1927164,9497862
Lehigh and Northampton Transportation Authority,Motor Bus,Gasoline,PA,6120,114627.6,252710.299512,3897096,19797124
Greater Attleboro-Taunton Regional Transit Authority,Motor Bus,Gasoline,MA,5850,109570.5,241561.31570999997,707860,3171004
Lane Transit District,Motor Bus,Gasoline,OR,5806,108746.38,239744.4442756,6311613,22779952
City of Nashua,Motor Bus,Gasoline,NH,5614,105150.22,231816.27801639997,315974,1787898
Kitsap County Public Transportation Benefit Area Authority,Motor Bus,Liquified Petroleum Gas,WA,8232,104381.76,230122.11573119997,2739131,24094434
City of Eau Claire,Demand Response,Diesel Fuel,WI,4641,104190.45,229700.349879,672882,1868624
"Prince George's County, Maryland",Motor Bus,Gasoline,MD,5561,104157.53,229627.77378859997,1800711,13130314
Central Oregon Intergovernmental Council,Motor Bus,Gasoline,OR,5425,101610.25,224011.98935499997,503039,3520617
Martin County,Demand Response,Gasoline,FL,5410,101329.3,223392.601366,107491,863744
Ms Coast Transportation Authority,Motor Bus,Liquified Petroleum Gas,MS,7986,101262.48,223245.28865759997,751314,6961094
Regional Transportation Authority,Vanpool,Gasoline,TN,5372,100617.56,221823.48512719997,173746,4037298
Southeast Area Transit District,Motor Bus,Gasoline,CT,5351,100224.23,220956.34194259997,1211688,6890209
City of Winston Salem,Motor Bus,Gasoline,NC,5217,97714.41,215423.1425742,1715582,5888651
County of Atlantic,Demand Response,Diesel Fuel,NJ,4318,96939.09999999999,213713.87864199997,86347,658856
Champaign-Urbana Mass Transit District,Demand Response,Diesel Fuel,IL,4306,96669.7,213119.954014,8573106,14797075
County of Fayette,Motor Bus,Diesel Fuel,PA,4270,95861.5,211338.18013,181885,2022566
"Ride Connection, Inc.",Demand Response,Electric Battery,OR,596,92997.4326641326,205024,164113,894584
City of Moorhead,Demand Response,Gasoline,MN,4945,92619.85,204191.573707,383279,1380595
Santee Wateree Regional Transportation Authority,Motor Bus,Liquified Petroleum Gas,SC,7279,92297.72,203481.39946639998,89873,619762
Altoona Metro Transit,Motor Bus,Diesel Fuel,PA,4002,89844.9,198073.86343799997,444716,1614732
Lane Transit District,Vanpool,Gasoline,OR,4744,88855.12,195891.77465439998,6311613,22779952
City of Wilsonville,Demand Response,Gasoline,OR,4604,86232.92,190110.82009039997,185195,1207058
Buncombe County,Demand Response,Liquified Petroleum Gas,NC,6615,83878.2,184919.55728399998,113858,1149650
Lakeland Area Mass Transit District,Demand Response,Diesel Fuel,FL,3735,83850.75,184859.04046499997,848241,4655234
Potomac and Rappahannock Transportation Commission,Demand Response,Gasoline,VA,4304,80613.92,177723.06031039997,2158231,54836885
Cape Ann Transportation Authority,Motor Bus,Gasoline,MA,4274,80052.02,176484.28433239998,180339,519373
Transit Authority of River City,Motor Bus,Gasoline,KY,4133,77411.09,170662.03723579997,6247087,22882994
Santee Wateree Regional Transportation Authority,Demand Response,Liquified Petroleum Gas,SC,5887,74647.16,164568.62187919999,89873,619762
Town of Blacksburg,Motor Bus,Gasoline,VA,3777,70743.21,155961.8956302,3520078,6571617
City of Longview,Motor Bus,Gasoline,WA,3766,70537.18000000001,155507.6777716,274804,1040117
Santee Wateree Regional Transportation Authority,Commuter Bus,Liquified Petroleum Gas,SC,5542,70272.56,154924.29122719998,89873,619762
University of Georgia,Demand Response,Gasoline,GA,3424,64131.520000000004,141385.6316224,2941019,3512275
City of Yakima,Commuter Bus,Gasoline,WA,3337,62502.01,137793.18128619998,646711,3435365
Borough of Pottstown,Demand Response,Gasoline,PA,3259,61041.07,134572.3637434,138196,240733
Western Reserve Transit Authority,Demand Response,Diesel Fuel,OH,2704,60704.799999999996,133831.01617599998,2015081,6871274
Delaware Transit Corporation,Demand Response,Gasoline,DE,3192,59786.16,131805.7640592,7629486,49897548
Capital Area Transportation Authority,Demand Response,Bio-Diesel,MI,2593,58212.85,128337.21336699999,7633877,22977380
Ms Coast Transportation Authority,Motor Bus,Electric Battery,MS,152,56328.98186535548,124184,751314,6961094
City of Fort Lauderdale,Motor Bus,Gasoline,FL,2912,54541.76,120243.8549312,218791,537030
Snohomish County Public Transportation Benefit Area Corporation,Demand Response,Liquified Petroleum Gas,WA,4273,54181.64,119449.92717679999,7146008,58898665
Kitsap County Public Transportation Benefit Area Authority,Demand Response,Gasoline,WA,2892,54167.16,119418.0042792,2739131,24094434
Jackson Transit Authority,Motor Bus,Gasoline,TN,2801,52462.73,115660.38381259999,298840,1635772
"JAUNT, Inc.",Demand Response,Electric Battery,VA,187,50384.19319429199,111078,240235,2433504
"Frederick County, Maryland",Demand Response,Diesel Fuel,MD,2175,48828.75,107648.83882499998,677642,3659312
City of Jackson Transportation Authority,Demand Response,Diesel Fuel,MI,2124,47683.799999999996,105124.65915599998,316935,889242
Kitsap County Public Transportation Benefit Area Authority,Demand Response,Bio-Diesel,WA,2098,47100.1,103837.82246199998,2739131,24094434
Williamsburg Area Transit Authority,Motor Bus,Gasoline,VA,2416,45251.68,99762.7587616,740818,3497142
"Montgomery County, Maryland",Motor Bus,Electric Battery,MD,178,45052.66213678548,99324,14372995,58141297
Regional Transit Service,Vanpool,Gasoline,NY,2403,45008.19,99225.9558378,9162408,27087937
South Bend Public Transportation Corporation,Demand Response,Diesel Fuel,IN,1995,44787.75,98739.969405,1252820,4679161
Lake County Board of County Commissioners,Motor Bus,Gasoline,FL,2109,39501.57,87085.9512534,289663,2164266
Interurban Transit Partnership,Demand Response,Diesel Fuel,MI,1699,38142.549999999996,84089.82858099998,6042030,27512044
Okaloosa County Board of County Commissioners,Demand Response,Diesel Fuel,FL,1546,34707.7,76517.28957399998,105016,771891
"City of Rochester, Minnesota",Motor Bus,Gasoline,MN,1826,34200.98,75400.1645276,745406,2558386
Suburban Mobility Authority for Regional Transportation,Motor Bus,Electric Battery,MI,82,33921.492139234884,74784,4827519,45670297
Regional Transit Service,Demand Response,Diesel Fuel,NY,1492,33495.4,73844.628748,9162408,27087937
City of Fayetteville,Motor Bus,Gasoline,NC,1787,33470.51,73789.7557562,2195673,9099174
Pasco County Board of County Commissioners,Demand Response,Diesel Fuel,FL,1464,32866.799999999996,72458.80461599998,683554,3766914
Suburban Mobility Authority for Regional Transportation,Demand Response,Gasoline,MI,1720,32215.600000000002,71023.156072,4827519,45670297
City of Memphis,Motor Bus,Electric Battery,TN,85,27567.109070951006,60775,2819588,14475117
"Western Maine Transportation Services, Inc.",Motor Bus,Gasoline,ME,1465,27439.45,60493.560259,168002,787362
Greater Lafayette Public Transportation Corporation,Demand Response,Gasoline,IN,1441,26989.93,59502.539476599995,4447311,10619883
Greater Bridgeport Transit Authority,Demand Response,Gasoline,CT,1352,25322.96,55827.50407519999,5266649,15150397
City of Mobile,Motor Bus,Gasoline,AL,1329,24892.170000000002,54877.7758254,568192,3701933
Barnegat Bay Decoy & Baymen's Museum,Ferry Boat,Gasoline,NJ,1321,24742.33,54547.4355646,7343,60214
